series_id,nama_kabupaten_kota,periode_update,kategori,jumlah
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-03-01,Jagung Pipil Kering,4627.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-04-01,Jagung Pipil Kering,5275.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-05-01,Jagung Pipil Kering,5956.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-06-01,Jagung Pipil Kering,5800.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-07-01,Jagung Pipil Kering,5756.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-08-01,Jagung Pipil Kering,5930.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-09-01,Jagung Pipil Kering,6000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-10-01,Jagung Pipil Kering,6000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-11-01,Jagung Pipil Kering,6000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2023-12-01,Jagung Pipil Kering,6000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-01-01,Jagung Pipil Kering,6143.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-02-01,Jagung Pipil Kering,8042.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-03-01,Jagung Pipil Kering,7333.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-04-01,Jagung Pipil Kering,6000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-05-01,Jagung Pipil Kering,5475.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-06-01,Jagung Pipil Kering,4650.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-07-01,Jagung Pipil Kering,5000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-08-01,Jagung Pipil Kering,5241.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-09-01,Jagung Pipil Kering,5250.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-10-01,Jagung Pipil Kering,5250.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-11-01,Jagung Pipil Kering,5042.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2024-12-01,Jagung Pipil Kering,5000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-01-01,Jagung Pipil Kering,5000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-02-01,Jagung Pipil Kering,4844.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-03-01,Jagung Pipil Kering,4750.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-04-01,Jagung Pipil Kering,4778.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-05-01,Jagung Pipil Kering,5000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-06-01,Jagung Pipil Kering,5000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-07-01,Jagung Pipil Kering,5000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-08-01,Jagung Pipil Kering,7000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-09-01,Jagung Pipil Kering,7000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-10-01,Jagung Pipil Kering,7000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-11-01,Jagung Pipil Kering,7000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2025-12-01,Jagung Pipil Kering,7000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2026-01-01,Jagung Pipil Kering,7000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2026-02-01,Jagung Pipil Kering,7000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2026-03-01,Jagung Pipil Kering,7000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2026-04-01,Jagung Pipil Kering,7000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2026-05-01,Jagung Pipil Kering,7000.0
Kabupaten Bangkalan | Jagung Pipil Kering,Kabupaten Bangkalan,2026-06-01,Jagung Pipil Kering,7000.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-01-01,Kedelai,6500.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-02-01,Kedelai,6500.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-03-01,Kedelai,6500.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-04-01,Kedelai,6500.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-05-01,Kedelai,6500.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-06-01,Kedelai,6500.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-07-01,Kedelai,6500.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-08-01,Kedelai,6500.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-09-01,Kedelai,6500.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-10-01,Kedelai,6500.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-11-01,Kedelai,6500.0
Kabupaten Bangkalan | Kedelai,Kabupaten Bangkalan,2020-12-01,Kedelai,6500.0
